DayOrder,DayOfWeekStr,starttime,endtime,permit,PermitLocation,locationdesc,optionaltext,locationid,scheduleid,start24,end24,CNN,Addr_Date_Create,Addr_Date_Modified,block,lot,ColdTruck,Applicant,X,Y,Latitude,Longitude,Location,Supervisor Districts,Fire Prevention Districts,Current Police Districts,Neighborhoods - Analysis Boundaries,Zip Codes
2,Tuesday,9AM,10AM,19MFF-00054,435 23RD ST,9:45am-9:50am,"Cold Truck: packaged sandwiches, snacks, candy, hot and cold drinks",1336675,,09:00,10:00,1232000,06/16/2011 01:26:19 PM,06/16/2011 01:26:36 PM,4232,010,Y,Mike's Catering,6016691.32292,2103048.06871,37.75550597836245,-122.38522087912584,"(37.7555059783625, -122.385220879126)",8,10,3,26,28856
4,Thursday,11AM,12PM,19MFF-00057,601 CRESCENT AVE,11:25am-11:30am,"Cold Truck: Pre-packaged Sandwiches, Various Beverages, Salads, Snacks",1336775,,11:00,12:00,4494000,08/29/2011 04:57:56 PM,08/29/2011 04:58:09 PM,5741,016,Y,Golden Catering,6007776.69785,2095716.79039,37.734878735133719,-122.41553147086064,"(37.7348787351337, -122.415531470861)",7,2,4,2,28859
1,Monday,7AM,8AM,19MFF-00054,Assessors Block 3788/Lot002,"Setup at 56 Stanford St. 9:00am-3:00pm (Sat), 9:30am-2:00pm (Sun)","Cold Truck: packaged sandwiches, snacks, candy, hot and cold drinks",1336674,,07:00,08:00,12068000,06/16/2011 02:40:25 PM,06/16/2011 02:41:52 PM,3788,002,Y,Mike's Catering,6015005.151,2112394.09,37.78107467807542,-122.39170566116685,"(37.7810746780754, -122.391705661167)",9,6,2,8,28856
1,Monday,11AM,12PM,19MFF-00056,Assessors Block 4755/Lot049,"Setup at 800 Fitch St (NWC of Arelius & Quesada). 6:10am-6:20am, 10:05am-10:10am","Cold Truck: Hamburger, cheeseburgers, hot dogs, hot sandwiches, cold sandwiches, egg muffins, cup of noodles, corn dogs, canned soup, coffee, hot cocoa, hot tea, gatorade, juice, milk, soda, water, fruits, fruit salad, rice pudding, yogurt, candy bars, chips, cookies, donuts, granola bars, muffins",1336757,,11:00,12:00,5582000,06/10/2011 09:26:43 AM,06/10/2011 09:30:35 AM,4755,049,Y,Park's Catering,6018439.93443,2092406.50106,37.726382932182176,-122.37843478266778,"(37.7263829321822, -122.378434782668)",8,10,3,1,58
2,Tuesday,7AM,8AM,19MFF-00054,Assessors Block 8720/Lot009,"Setup at 325 China Basin St. 9:30am-10:30am, 11:30am-12:30pm","Cold Truck: packaged sandwiches, snacks, candy, hot and cold drinks",1336678,,07:00,08:00,15024000,06/16/2011 02:31:15 PM,06/16/2011 02:31:49 PM,8720,009,Y,Mike's Catering,6016084.593,2109122.779,37.772152243244449,-122.38774298411559,"(37.7721522432444, -122.387742984116)",9,14,3,4,310
5,Friday,11AM,12PM,19MFF-00056,Assessors Block 4645/Lot015,Setup at 894 Innes Ave. 11:45am-11:50am,"Cold Truck: Hamburger, cheeseburgers, hot dogs, hot sandwiches, cold sandwiches, egg muffins, cup of noodles, corn dogs, canned soup, coffee, hot cocoa, hot tea, gatorade, juice, milk, soda, water, fruits, fruit salad, rice pudding, yogurt, candy bars, chips, cookies, donuts, granola bars, muffins",1336759,,11:00,12:00,7254000,06/10/2011 09:37:16 AM,06/10/2011 09:37:36 AM,4645,015,Y,Park's Catering,6019359.973,2094482.884,37.732134951922227,-122.37539807856734,"(37.7321349519222, -122.375398078567)",8,10,3,1,58
3,Wednesday,10AM,11AM,19MFF-00056,2525 MARIN ST,10:15am-10:20am,"Cold Truck: Hamburger, cheeseburgers, hot dogs, hot sandwiches, cold sandwiches, egg muffins, cup of noodles, corn dogs, canned soup, coffee, hot cocoa, hot tea, gatorade, juice, milk, soda, water, fruits, fruit salad, rice pudding, yogurt, candy bars, chips, cookies, donuts, granola bars, muffins",1336761,,10:00,11:00,8700000,06/07/2011 04:30:45 PM,06/07/2011 04:31:06 PM,4343,001D,Y,Park's Catering,6011682.16711,2100464.95536,37.748134933544691,-122.40236257004895,"(37.7481349335447, -122.402362570049)",8,10,3,1,58
2,Tuesday,10AM,11AM,19MFF-00057,835 JAMESTOWN AVE,10:30am-10:40am,"Cold Truck: Pre-packaged Sandwiches, Various Beverages, Salads, Snacks",1336778,,10:00,11:00,7428000,08/29/2011 04:57:08 PM,08/29/2011 04:57:22 PM,4991,277,Y,Golden Catering,6014862.63879,2088936.11373,37.716656100299275,-122.39055903993396,"(37.7166561002993, -122.390559039934)",8,10,3,1,58
2,Tuesday,11AM,1PM,19MFF-00054,409 ILLINOIS ST,11:30am-12:30pm,"Cold Truck: packaged sandwiches, snacks, candy, hot and cold drinks",1336683,,11:00,13:00,7165000,06/16/2011 01:35:53 PM,06/16/2011 01:36:17 PM,3940,001,Y,Mike's Catering,6015948.27353,2107171.45436,37.766786779295607,-122.3880783319894,"(37.7667867792956, -122.388078331989)",9,14,3,4,310
3,Wednesday,9AM,10AM,19MFF-00055,2555 BAY SHORE BLVD,9:35am-9:40am,"Cold Truck: Soft drinks, cup cakes, potato chips, cookies, gum, sandwiches (hot & cold), peanuts, muffins, coff (hot & cold), water, juice, yoplait, milk, orange juice, sunflower seeds, can foods, burritos, buscuits, chimichangas, rice krispies",1336737,,09:00,10:00,2826101,03/28/2012 04:40:26 PM,04/10/2012 09:54:45 AM,5100,002,Y,Quan Catering,6010744.34835,2086421.12822,37.7095211282262,-122.40461704865776,"(37.7095211282262, -122.404617048658)",8,10,3,1,309
